Model,MAE,RMSE,R² Score
Linear Regression,36.734129682042266,48.63440643580303,0.47626821303035405
Random Forest,27.69162973659311,37.69557812424205,0.6853682756955957
Xgboost,27.24617144950402,37.502150575969075,0.6885889346913214
